Year,DoY,Hour,FC_cw,qc_FC_cw,FC_cwu_f,FC_cwu_gf,qc_FC_cwu_gf,FC_cwbNEGu_f,FC_cwbNEGu_gf,qc_FC_cwbNEGu_gf,LE_cw_f,qc_LE_cw_f,LE_cw_gf,qc_LE_cw_gf,H_c_f,qc_H_c_f,H_c_gf,qc_H_c_gf,UST,EBC,TAU_c,qc_TAU_c,TAU,TAU_FreqR,H,H_FreqR,LE,LE_FreqR,FC,FC_FreqR,Rg_f,Rg_gf,qc_Rg_gf,VPD_f,VPD_gf,qc_VPD_gf,RH_f,RH_gf,qc_RH_gf,Ta_f,Ta_gf,qc_Ta_gf,Tsoil_f,Tsoil_gf,qc_Tsoil_gf,PA_1,Rg_out_f,Rlong_f,Rlong_out_f,RNET_f,PAR_out_f,PRECIP,SnowD_f,G1_f,G2_f,G3_f,G4_f,G1_str,G2_str,SWC_1_f,SWC_2_f,Tsoil_2,AGC,CO2,ALBEDO_f,WS_1,WD,PotRad,FP_NEEnight,FP_Temp,E_0,R_ref,Reco,Reco_f,Reco_DT_f,GPP,GPP_f,GPP_DT_f,GPP_fqc,gC_NEE,gC_ER,gC_GPP,gC ER_DT,gC GPP_DT
--,--,--,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,Wm-2,-,Wm-2,-,Wm-2,-,Wm-2,-,ms-1,%,kg m-1 s-2,-,kg m-1 s-2,-,Wm-2,-,Wm-2,-,umolm-2s-1,-,Wm-2,Wm-2,-,hPa,hPa,-,%,%,-,degC,degC,-,degC,degC,-,KPA,Wm-2,Wm-2,Wm-2,Wm-2,umolm-2s-1,mm,m,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,m3 m-3,m3 m-3,degC,unitless,umol mol-1,fraction,m sec-1,degrees,W_m-2,umolm-2s-1,degC,degK,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,-,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1
2010,316,13.5,-9999,-9999,-9999,0.42667,3,-9999,0.42667,3,-9999,-9999,0.001596,2,-9999,-9999,-0.2387,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66.416,1,0.97343,0.97343,0,76.923,76.923,0,-4.9672,-4.9672,0,15.748,15.748,0,97.611,34.285,-9999,148.52,-9999,84.811,0,0.017,6.277,-7.2433,-2.9415,5.6482,-0.48317,1.3533,16.556,15.924,16.181,0.67519,936.77,0.2664,1.2871,50.521,177.31,-9999,-4.9672,59.32,1.0481,0.65321,0.65321,0.59964,0.22655,0.22655,0.060976,3,0.0092173,0.014111,0.0048941,0.012954,0.0013173
2010,316,14,-9999,-9999,-9999,0.4375,3,-9999,0.4375,3,-9999,-9999,-0.54275,1,-9999,-9999,-6.4661,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.431,64.431,0,0.98013,0.98013,0,76.523,76.523,0,-5.1028,-5.1028,0,15.748,15.748,0,97.998,19.869,107.89,146.87,5.5877,57.017,0,0.137,1.169,-1.5151,-0.39224,0.2476,-0.17306,-0.07232,16.556,15.924,16.181,0.8984,-9999,0.31136,1.1073,52.452,160.17,-9999,-5.1028,59.32,1.0481,0.65009,0.65009,0.59257,0.21259,0.21259,0.060968,3,0.0094513,0.014044,0.0045926,0.012801,0.0013171
2010,316,14.5,-9999,-9999,-9999,0.4375,3,-9999,0.4375,3,-9999,-9999,3.5414,2,-9999,-9999,-11.098,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,68.402,68.402,0,1.1523,1.1523,0,72.717,72.717,0,-4.9501,-4.9501,0,15.748,15.748,0,98.229,18.045,102.06,145.65,6.7693,44.632,0,0.136,0.13044,0.55484,-0.042113,-0.01304,0.34264,-0.027577,16.556,15.924,16.181,0.90093,801.35,0.27185,0.92523,43.989,133.84,-9999,-4.9501,59.32,1.0481,0.65361,0.65361,0.60053,0.21611,0.21611,0.060983,3,0.0094513,0.01412,0.0046686,0.012973,0.0013174
2010,316,15,0.03,-9999,-9999,1.1477,3,-9999,1.1892,3,-0.87581,-9999,-0.87581,0,-12.7,-9999,-12.7,0,-30.566,99.35,-30.893,-9999,-30.566,-9999,-12.345,-9999,-0.63013,-9999,0.02864,-9999,15.317,15.317,0,1.1233,1.1233,0,73.578,73.578,0,-4.8645,-4.8645,0,15.748,15.748,0,95.027,7.4875,96.09,141.92,-38.002,19.95,0,0.137,-0.010321,1.2349,-0.23034,0.17843,0.61229,-0.025953,16.556,15.924,16.181,0.87118,770.19,0.48925,0.81727,39.619,98.762,-9999,-4.8645,59.32,1.0481,0.65557,0.65557,0.60501,-0.53366,0,0.060139,3,0.02569,0.014162,0,0.01307,0.0012992
2010,316,15.5,-0.09,-9999,-9999,1.1477,3,-9999,1.1892,3,-1.3156,-9999,-1.3156,0,-12.606,-9999,-12.606,0,198.78,99.3,200.9,-9999,198.78,-9999,-12.226,-9999,-1.016,-9999,0.02405,-9999,4.4762,4.4762,0,1.0245,1.0245,0,75.422,75.422,0,-5.1234,-5.1234,0,15.748,15.748,0,98.198,4.039,93.669,141.46,-47.356,10.099,0,0.01,-0.0022026,0.96852,-2.3887,0.21906,0.48316,-1.0848,16.556,15.924,16.181,0.90058,799.67,-9999,0.66519,34.83,55.538,-9999,-5.1234,59.32,1.0481,0.64962,0.64962,0.5915,-0.53961,0,0.057647,3,0.02569,0.014034,0,0.012778,0.0012453
2010,316,16,0.61,-9999,-9999,1.1477,3,-9999,1.1892,3,0.34842,-9999,0.34842,0,-14.722,-9999,-14.722,0,-12.604,99.337,-12.801,-9999,-12.604,-9999,-14.065,-9999,0.46695,-9999,0.05203,-9999,0,0,0,0.56504,0.56504,0,84.782,84.782,0,-6.6307,-6.6307,0,15.748,15.748,0,98.198,0.69482,100.83,143.13,-46.245,2.0509,0,-0.002,0.009963,0.3343,-5.4578,0.27384,0.17213,-2.592,16.556,15.924,16.181,0.89836,803.06,-9999,0.42122,2.7022,4.9076,-9999,-6.6307,59.32,1.0481,0.61454,0.61454,0.51559,-0.57469,0,0,3,0.02569,0.013276,0,0.011138,0
2010,316,16.5,-0.45,-9999,-9999,0.36,3,-9999,0.36,3,-10.738,-9999,-10.738,0,-36.195,-9999,-36.195,0,-17.555,100.26,-18.068,-9999,-17.555,-9999,-34.203,-9999,-8.5763,-9999,0.05768,-9999,0,0,0,0.20278,0.20278,0,93.153,93.153,0,-9.52,-9.52,0,15.748,15.748,0,98.199,0,117.34,153.04,-39.574,0.11271,0,-0.013,0.018246,-1.3417,-11.295,0.35829,-0.6617,-5.4686,16.556,15.924,16.181,0.8764,780.05,0.0257,0.20166,13.834,0,-9999,-9.52,59.32,1.0481,0.54548,0.54548,0.38387,0.18548,0.18548,0,3,0.0077771,0.011784,0.0040069,0.0082927,0
2010,316,17,-9999,-9999,-9999,0.36375,3,-9999,0.43125,3,-9999,-9999,0.025749,1,-9999,-9999,0.58065,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,0.18068,0.18068,0,92.69,92.69,0,-11.779,-11.779,0,15.748,15.748,0,98.201,0.014858,130.92,162.09,-34.332,0,0,-0.009,0.041369,-4.3031,-21.879,0.49721,-2.1309,-10.691,16.556,15.924,16.181,0.88079,803.74,-9999,0.22955,284.61,0,-9999,-11.779,59.32,1.0481,0.49002,0.49002,0.29441,0.05877,0.05877,0,3,0.0093163,0.010586,0.0012696,0.0063601,0
2010,316,17.5,-227198,-9999,-9999,0.36375,3,-9999,0.43125,3,-9999,-9999,0.073331,1,-9999,-9999,0.90977,1,40.785,-9999,58.129,-9999,40.785,-9999,2038.1,-9999,-40641,-9999,-0.26877,-9999,0,0,0,0.256,0.256,0,88.403,88.403,0,-13.168,-13.168,0,15.748,15.748,0,98.201,0.43871,137.57,167.15,-32.144,0,0,-0.007,0.053005,-8.5092,-25.074,0.63455,-4.2281,-12.22,16.556,15.924,16.181,0.88254,826.53,-9999,0.30319,22.122,0,-9999,-13.168,59.32,1.0481,0.45541,0.45541,0.2456,0.02416,0.02416,0,3,0.0093163,0.0098382,0.00052193,0.0053057,0
