Year,DoY,Hour,FC_cw,qc_FC_cw,FC_cwu_f,FC_cwu_gf,qc_FC_cwu_gf,FC_cwbu_f,FC_cwbu_gf,qc_FC_cwbu_gf,FC_cwbNEGu_f,FC_cwbNEGu_gf,qc_FC_cwbNEGu_gf,FC_cwbEXPu_f,FC_cwbEXPu_gf,qc_FC_cwbEXPu_gf,LE_cw_f,qc_LE_cw_f,LE_cw_gf,qc_LE_cw_gf,H_c_f,qc_H_c_f,H_c_gf,qc_H_c_gf,UST,EBC,TAU_c,qc_TAU_c,TAU,TAU_FreqR,H,H_FreqR,LE,LE_FreqR,FC,FC_FreqR,Rg_f,Rg_gf,qc_Rg_gf,VPD_f,VPD_gf,qc_VPD_gf,RH_f,RH_gf,qc_RH_gf,Ta_f,Ta_gf,qc_Ta_gf,Tsoil_f,Tsoil_gf,qc_Tsoil_gf,PA_1,Rg_out_f,Rlong_f,Rlong_out_f,RNET_f,PAR_f,PAR_out_f,PRECIP,SnowD_f,G1_f,G2_f,G3_f,G4_f,G1_str,G2_str,SWC_1_f,SWC_2_f,Tsoil_2,AGC,CO2,ALBEDO_f,WS_1,WD,cs616_1,cs616_2,ch4_flux_raw,qc_ch4_flux,ch4_flux_f,ch4_flux_gf_MDS,ch4_flux_gf_fqc,RSSI_mean,ch4_mole_fraction,PotRad,FP_NEEnight,FP_Temp,E_0,R_ref,Reco,Reco_f,Reco_DT_f,GPP,GPP_f,GPP_DT_f,GPP_fqc,gC_NEE,gC_ER,gC_GPP,gC ER_DT,gC GPP_DT
--,--,--,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,Wm-2,-,Wm-2,-,Wm-2,-,Wm-2,-,ms-1,%,kg m-1 s-2,-,kg m-1 s-2,-,Wm-2,-,Wm-2,-,umolm-2s-1,-,Wm-2,Wm-2,-,hPa,hPa,-,%,%,-,degC,degC,-,degC,degC,-,KPA,Wm-2,Wm-2,Wm-2,Wm-2,umolm-2s-1,umolm-2s-1,mm,m,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,m3 m-3,m3 m-3,degC,unitless,umol mol-1,fraction,m sec-1,degrees,usec,usec,umolm-2s-1,#,umolm-2s-1,umolm-2s-1,-,%,umol/mol,W_m-2,umolm-2s-1,degC,degK,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,-,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1
2013,270,0,-9999,-9999,-9999,2.1147,1,-9999,-9999,-9999,-9999,2.1147,1,-9999,2.1147,1,-9999,-9999,2.3609,1,-9999,-9999,-8.8864,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1.73,1.73,0,80.854,80.854,0,5.4948,5.4948,0,4.7012,4.7012,0,97.661,1.2614,296.38,325.51,-32.648,-9999,0,0,0.064,-0.036371,1.5025,-7.393,-1.8205,-1.3396,-7.3337,0.11698,0.057805,4.7053,0.97671,737.57,-9999,1.4976,34.786,21.295,18.555,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.4948,62.73,1.7238,1.426,2.1147,2.1147,-0.68876,0,0,1,0.045684,0.045684,0,0.045684,0
2013,270,0.5,-9999,-9999,-9999,2.1147,1,-9999,-9999,-9999,-9999,2.1147,1,-9999,2.1147,1,-9999,-9999,2.3609,1,-9999,-9999,-8.8864,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1.6139,1.6139,0,82.039,82.039,0,5.4153,5.4153,0,4.5981,4.5981,0,97.636,1.104,286.76,323.6,-40.973,-9999,0,0,0.065,-0.090796,1.5328,-8.0412,-2.1437,-0.93553,-7.6249,0.11699,0.05779,4.5444,0.97667,737.81,-9999,1.3486,36.271,21.296,18.554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.4153,62.73,1.7238,1.4233,2.1147,2.1147,-0.69144,0,0,1,0.045684,0.045684,0,0.045684,0
2013,270,1,-9999,-9999,-9999,1.9867,1,-9999,-9999,-9999,-9999,1.9867,1,-9999,1.9867,1,-9999,-9999,1.8877,1,-9999,-9999,-9.2596,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1.6115,1.6115,0,81.485,81.485,0,4.959,4.959,0,4.5145,4.5145,0,97.591,1.0721,288.74,318.83,-33.184,-9999,0,0,0.04,-0.37036,0.97996,-9.215,-2.9694,-1.6792,-8.8589,0.117,0.057779,4.4127,0.97662,739.58,-9999,0.91067,30.023,21.296,18.554,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,4.959,62.73,1.7238,1.4078,1.9867,1.9867,-0.5789,0,0,1,0.042919,0.042919,0,0.042919,0
2013,270,1.5,-9999,-9999,-9999,1.3959,1,-9999,-9999,-9999,-9999,1.3959,1,-9999,1.3959,1,-9999,-9999,1.6183,1,-9999,-9999,-8.5748,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1.6588,1.6588,0,80.697,80.697,0,4.7765,4.7765,0,4.4955,4.4955,0,97.533,0.96754,303.03,319.35,-17.971,-9999,0,0,0.052,-0.56547,0.65317,-10.259,-3.4888,-2.1642,-9.6838,0.11701,0.05776,4.3334,0.97671,742.33,-9999,0.70431,47.608,21.297,18.553,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,4.7765,62.73,1.7238,1.4016,1.3959,1.3959,0.0057336,0,0,1,0.030156,0.030156,0,0.030156,0
2013,270,2,-9999,-9999,-9999,2.2389,1,-9999,-9999,-9999,-9999,2.2389,1,-9999,2.2389,1,-9999,-9999,2.2339,1,-9999,-9999,-8.9613,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.2047,2.2047,0,75.832,75.832,0,5.6322,5.6322,0,4.4957,4.4957,0,97.49,1.4771,301.79,324.7,-25.079,-9999,0.0017343,0,-0.313,-0.75389,0.4065,-10.474,-3.893,-2.7995,-10.303,0.11702,0.057752,4.2736,0.9766,736.23,-9999,1.4081,36.913,21.297,18.552,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.6322,62.73,1.7238,1.4306,2.2389,2.2389,-0.80828,0,0,1,0.048367,0.048367,0,0.048367,0
2013,270,2.5,-9999,-9999,-9999,2.2389,1,-9999,-9999,-9999,-9999,2.2389,1,-9999,2.2389,1,-9999,-9999,2.1906,1,-9999,-9999,-8.7257,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.126,2.126,0,76.607,76.607,0,5.5783,5.5783,0,4.4059,4.4059,0,97.447,0.8371,298.14,324.24,-28.92,-9999,0,0,0.059,-0.93649,0.20221,-10.269,-4.1619,-2.798,-9.958,0.11704,0.057741,4.1392,0.97653,736.7,-9999,1.2358,50.167,21.298,18.552,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.5783,62.73,1.7238,1.4288,2.2389,2.2389,-0.81009,0,0,1,0.048367,0.048367,0,0.048367,0
2013,270,3,-9999,-9999,-9999,2.2389,1,-9999,-9999,-9999,-9999,2.2389,1,-9999,2.2389,1,-9999,-9999,2.2339,1,-9999,-9999,-8.9613,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.3117,2.3117,0,74.792,74.792,0,5.7077,5.7077,0,4.3179,4.3179,0,97.4,1.0641,302.68,326.21,-25.988,-9999,0,0,0.078,-1.1219,0.0013706,-10.098,-4.3406,-2.7238,-9.6178,0.11705,0.057731,4.0346,0.97646,734.77,-9999,1.636,42.973,21.299,18.551,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.7077,62.73,1.7238,1.4331,2.2389,2.2389,-0.80574,0,0,1,0.048367,0.048367,0,0.048367,0
2013,270,3.5,-9999,-9999,-9999,2.2389,1,-9999,-9999,-9999,-9999,2.2389,1,-9999,2.2389,1,-9999,-9999,2.1906,1,-9999,-9999,-8.7257,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.2397,2.2397,0,75.363,75.363,0,5.5824,5.5824,0,4.2454,4.2454,0,97.398,0.77028,295.17,322.89,-30.561,-9999,0,0,0.084,-1.2808,-0.17682,-9.8958,-4.4707,-2.9821,-9.3952,0.11707,0.057726,3.9606,0.97666,734.88,-9999,0.97434,40.52,21.299,18.551,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.5824,62.73,1.7238,1.4289,2.2389,2.2389,-0.80996,0,0,1,0.048367,0.048367,0,0.048367,0
2013,270,4,-9999,-9999,-9999,1.9867,1,-9999,-9999,-9999,-9999,1.9867,1,-9999,1.9867,1,-9999,-9999,2.5352,1,-9999,-9999,-8.5625,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.2121,2.2121,0,75.245,75.245,0,5.336,5.336,0,4.1762,4.1762,0,97.374,1.0448,293.1,322.71,-32.496,-9999,0,0,0.033,-1.4311,-0.34671,-9.7973,-4.5603,-3.5373,-9.4302,0.11709,0.057723,3.8897,0.97643,735.35,-9999,1.2241,49.693,21.3,18.551,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.336,62.73,1.7238,1.4206,1.9867,1.9867,-0.56612,0,0,1,0.042919,0.042919,0,0.042919,0
2013,270,4.5,-9999,-9999,-9999,2.1147,1,-9999,-9999,-9999,-9999,2.1147,1,-9999,2.1147,1,-9999,-9999,2.4465,1,-9999,-9999,-8.5059,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.3362,2.3362,0,73.913,73.913,0,5.3671,5.3671,0,4.139,4.139,0,97.351,0.89508,302.96,324.44,-23.519,-9999,0,0,-0.305,-1.5535,-0.49337,-9.8599,-4.6336,-3.2965,-9.0762,0.11711,0.057713,3.84,0.97636,735.44,-9999,1.4908,41.463,21.301,18.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.3671,62.73,1.7238,1.4217,2.1147,2.1147,-0.69307,0,0,1,0.045684,0.045684,0,0.045684,0
2013,270,5,-9999,-9999,-9999,1.9867,1,-9999,-9999,-9999,-9999,1.9867,1,-9999,1.9867,1,-9999,-9999,2.2989,1,-9999,-9999,-8.893,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.3225,2.3225,0,73.88,73.88,0,5.2643,5.2643,0,4.1045,4.1045,0,97.324,0.75474,294.47,324.21,-32.426,-9999,0,0,0.072,-1.6782,-0.64042,-9.7407,-4.7018,-3.1948,-8.8045,0.11711,0.05771,3.8053,0.97628,736.7,-9999,1.4237,44.285,21.301,18.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.2643,62.73,1.7238,1.4182,1.9867,1.9867,-0.56855,0,0,1,0.042919,0.042919,0,0.042919,0
2013,270,5.5,-9999,-9999,-9999,2.1147,1,-9999,-9999,-9999,-9999,2.1147,1,-9999,2.1147,1,-9999,-9999,2.3609,1,-9999,-9999,-8.8864,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.4643,2.4643,0,72.579,72.579,0,5.4171,5.4171,0,4.0362,4.0362,0,97.304,0.90981,295.18,324.91,-32.304,-9999,0,0,0.079,-1.7874,-0.76855,-9.6193,-4.7448,-2.9281,-8.5061,0.11713,0.057703,3.736,0.9762,734.53,-9999,1.5254,35.907,21.302,18.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.4171,62.73,1.7238,1.4233,2.1147,2.1147,-0.69138,0,0,1,0.045684,0.045684,0,0.045684,0
2013,270,6,-9999,-9999,-9999,2.1147,1,-9999,-9999,-9999,-9999,2.1147,1,-9999,2.1147,1,-9999,-9999,2.4465,1,-9999,-9999,-8.5059,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.4018,2.4018,0,73.181,73.181,0,5.3673,5.3673,0,4.0115,4.0115,0,97.281,0.718,292.07,324.54,-35.085,-9999,0,0,-0.349,-1.8967,-0.89306,-9.5638,-4.7842,-2.5745,-8.1734,0.11712,0.057698,3.7024,0.97621,734.84,-9999,1.3894,33.277,21.302,18.55,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.3673,62.73,1.7238,1.4217,2.1147,2.1147,-0.69306,0,0,1,0.045684,0.045684,0,0.045684,0
