Year,DoY,Hour,FC_cw,qc_FC_cw,FC_cwu_f,FC_cwu_gf,qc_FC_cwu_gf,FC_cwbu_f,FC_cwbu_gf,qc_FC_cwbu_gf,FC_cwbNEGu_f,FC_cwbNEGu_gf,qc_FC_cwbNEGu_gf,FC_cwbEXPu_f,FC_cwbEXPu_gf,qc_FC_cwbEXPu_gf,LE_cw_f,qc_LE_cw_f,LE_cw_gf,qc_LE_cw_gf,H_c_f,qc_H_c_f,H_c_gf,qc_H_c_gf,UST,EBC,TAU_c,qc_TAU_c,TAU,TAU_FreqR,H,H_FreqR,LE,LE_FreqR,FC,FC_FreqR,Rg_f,Rg_gf,qc_Rg_gf,VPD_f,VPD_gf,qc_VPD_gf,RH_f,RH_gf,qc_RH_gf,Ta_f,Ta_gf,qc_Ta_gf,Tsoil_f,Tsoil_gf,qc_Tsoil_gf,PA_1,Rg_out_f,Rlong_f,Rlong_out_f,RNET_f,PAR_f,PAR_out_f,PRECIP,SnowD_f,G1_f,G2_f,G3_f,G4_f,G1_str,G2_str,SWC_1_f,SWC_2_f,Tsoil_2,AGC,CO2,ALBEDO_f,WS_1,WD,cs616_1,cs616_2,ch4_flux_raw,qc_ch4_flux,ch4_flux_f,ch4_flux_gf_MDS,ch4_flux_gf_fqc,RSSI_mean,ch4_mole_fraction,PotRad,FP_NEEnight,FP_Temp,E_0,R_ref,Reco,Reco_f,Reco_DT_f,GPP,GPP_f,GPP_DT_f,GPP_fqc,gC_NEE,gC_ER,gC_GPP,gC ER_DT,gC GPP_DT
--,--,--,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,Wm-2,-,Wm-2,-,Wm-2,-,Wm-2,-,ms-1,%,kg m-1 s-2,-,kg m-1 s-2,-,Wm-2,-,Wm-2,-,umolm-2s-1,-,Wm-2,Wm-2,-,hPa,hPa,-,%,%,-,degC,degC,-,degC,degC,-,KPA,Wm-2,Wm-2,Wm-2,Wm-2,umolm-2s-1,umolm-2s-1,mm,m,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,m3 m-3,m3 m-3,degC,unitless,umol mol-1,fraction,m sec-1,degrees,usec,usec,umolm-2s-1,#,umolm-2s-1,umolm-2s-1,-,%,umol/mol,W_m-2,umolm-2s-1,degC,degK,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,-,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1
2013,270,0,-9999,-9999,-9999,0.56235,3,-9999,-9999,-9999,-9999,0.56235,3,-9999,0.56235,3,-9999,-9999,-2.6671,2,-9999,-9999,-1.7136,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,1,-9999,1.9795,1,-9999,79.178,1,-9999,6.2303,1,-9999,3.5825,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,-9999,88.89,2.5485,1.9957,0.56235,0.56235,1.4334,0,-9999,3,0.012148,0.012148,0,0.012148,-9999
2013,270,0.5,-9999,-9999,-9999,1.1176,1,-9999,-9999,-9999,-9999,1.1176,1,-9999,1.1176,1,-9999,-9999,1.3347,1,-9999,-9999,-10.283,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1.962,1.962,0,79.668,79.668,0,6.443,6.443,0,3.5706,3.5706,0,97.651,0.82544,277.27,334.49,-61.621,0,-9999,0,-9999,1.4611,1.5017,0.51286,1.3356,0.1288,0.92421,0.91193,-9999,3.6455,0.97595,717.17,-9999,2.7851,50.005,42.154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,6.443,88.89,2.5485,2.0095,1.1176,1.1176,0.89199,0,0,1,0.024143,0.024143,0,0.024143,0
2013,270,1,-9999,-9999,-9999,1.1176,1,-9999,-9999,-9999,-9999,1.1176,1,-9999,1.1176,1,-9999,-9999,1.3347,1,-9999,-9999,-10.283,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,1.997,1.997,0,78.687,78.687,0,6.0176,6.0176,0,3.5945,3.5945,0,97.608,1.3092,278.64,331.49,-57.086,0,-9999,0,-9999,1.2196,1.1533,0.27866,0.96737,-0.39572,0.62302,0.9119,-9999,3.6668,0.97585,722.73,-9999,2.0914,43.402,42.153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,6.0176,88.89,2.5485,1.9819,1.1176,1.1176,0.86435,0,0,1,0.024143,0.024143,0,0.024143,0
2013,270,1.5,-9999,-9999,-9999,1.1176,1,-9999,-9999,-9999,-9999,1.1176,1,-9999,1.1176,1,-9999,-9999,1.4833,1,-9999,-9999,-10.064,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.3959,2.3959,0,73.931,73.931,0,5.7394,5.7394,0,3.5804,3.5804,0,97.551,1.2661,298.08,330.97,-35.697,0,-9999,0,-9999,1.08,0.90457,0.058594,0.69757,-0.52844,0.37808,0.91191,-9999,3.6567,0.9758,727.41,-9999,1.8114,37.967,42.153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.7394,88.89,2.5485,1.9638,1.1176,1.1176,0.84623,0,0,1,0.024143,0.024143,0,0.024143,0
2013,270,2,-9999,-9999,-9999,1.1611,1,-9999,-9999,-9999,-9999,1.1611,1,-9999,1.1611,1,-9999,-9999,1.0952,1,-9999,-9999,-11.235,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.7371,2.7371,0,72.055,72.055,0,6.6589,6.6589,0,3.5347,3.5347,0,97.506,1.2321,296.4,335.09,-41.707,0,-9999,0,-9999,0.92798,0.62954,-0.25141,0.42977,-0.66703,0.08918,0.91189,-9999,3.6345,0.97589,717.39,-9999,2.4263,42.672,42.153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,6.6589,88.89,2.5485,2.0235,1.1611,1.1611,0.86242,0,0,1,0.025083,0.025083,0,0.025083,0
2013,270,2.5,-9999,-9999,-9999,1.1611,1,-9999,-9999,-9999,-9999,1.1611,1,-9999,1.1611,1,-9999,-9999,1.0952,1,-9999,-9999,-11.235,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.9594,2.9594,0,69.904,69.904,0,6.716,6.716,0,3.5201,3.5201,0,97.462,1.0287,292.29,335.31,-46.42,0,-9999,0,-9999,0.75717,0.33682,-0.50463,0.11776,-0.6739,-0.19344,0.91193,-9999,3.6295,0.97599,714.51,-9999,2.5658,53.922,42.154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,6.716,88.89,2.5485,2.0272,1.1611,1.1611,0.86612,0,0,1,0.025083,0.025083,0,0.025083,0
2013,270,3,-9999,-9999,-9999,1.1611,1,-9999,-9999,-9999,-9999,1.1611,1,-9999,1.1611,1,-9999,-9999,1.0952,1,-9999,-9999,-11.235,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.7433,2.7433,0,71.946,71.946,0,6.635,6.635,0,3.514,3.514,0,97.416,0.76797,297.06,335.71,-41.705,0,-9999,0,-9999,0.58843,0.07225,-0.64665,-0.12657,-2.3933,-0.38661,0.91192,-9999,3.6283,0.97601,713.94,-9999,2.5842,54.019,42.153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,6.635,88.89,2.5485,2.022,1.1611,1.1611,0.86087,0,0,1,0.025083,0.025083,0,0.025083,0
2013,270,3.5,-9999,-9999,-9999,1.1176,1,-9999,-9999,-9999,-9999,1.1176,1,-9999,1.1176,1,-9999,-9999,1.3347,1,-9999,-9999,-10.283,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.6514,2.6514,0,72.163,72.163,0,6.2545,6.2545,0,3.5168,3.5168,0,97.415,0.90021,289.95,331.73,-45.388,0,-9999,0,-9999,0.47073,-0.11208,-0.70455,-0.30107,-2.9242,-0.50281,0.91193,-9999,3.6313,0.97609,715.26,-9999,1.4479,68.734,42.154,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,6.2545,88.89,2.5485,1.9973,1.1176,1.1176,0.87975,0,0,1,0.024143,0.024143,0,0.024143,0
2013,270,4,-9999,-9999,-9999,1.1176,1,-9999,-9999,-9999,-9999,1.1176,1,-9999,1.1176,1,-9999,-9999,1.3347,1,-9999,-9999,-10.283,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,0,0,2.5453,2.5453,0,72.754,72.754,0,5.9747,5.9747,0,3.5252,3.5252,0,97.389,1.3404,285.65,330.1,-48.293,0,-9999,0,-9999,0.34136,-0.23897,-0.7586,-0.43724,-1.8561,-0.59792,0.91191,-9999,3.6401,0.976,716.24,-9999,1.5737,65.794,42.153,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.9747,88.89,2.5485,1.9791,1.1176,1.1176,0.86156,0,0,1,0.024143,0.024143,0,0.024143,0
