Year,DoY,Hour,FC_cw,qc_FC_cw,FC_cwu_f,FC_cwu_gf,qc_FC_cwu_gf,FC_cwbu_f,FC_cwbu_gf,qc_FC_cwbu_gf,FC_cwbNEGu_f,FC_cwbNEGu_gf,qc_FC_cwbNEGu_gf,FC_cwbEXPu_f,FC_cwbEXPu_gf,qc_FC_cwbEXPu_gf,LE_cw_f,qc_LE_cw_f,LE_cw_gf,qc_LE_cw_gf,H_c_f,qc_H_c_f,H_c_gf,qc_H_c_gf,UST,EBC,TAU_c,qc_TAU_c,TAU,TAU_FreqR,H,H_FreqR,LE,LE_FreqR,FC,FC_FreqR,Rg_f,Rg_gf,qc_Rg_gf,VPD_f,VPD_gf,qc_VPD_gf,RH_f,RH_gf,qc_RH_gf,Ta_f,Ta_gf,qc_Ta_gf,Tsoil_f,Tsoil_gf,qc_Tsoil_gf,PA_1,Rg_out_f,Rlong_f,Rlong_out_f,RNET_f,PAR_f,PAR_out_f,PRECIP,SnowD_f,G1_f,G2_f,G3_f,G4_f,G1_str,G2_str,SWC_1_f,SWC_2_f,Tsoil_2,Tsoil_3,AGC,CO2,ALBEDO_f,WS_1,WD,cs616_1,cs616_2,ch4_flux_raw,qc_ch4_flux,ch4_flux_f,ch4_flux_gf,ch4_flux_gf_fqc,RSSI_mean,ch4_mole_fraction,PotRad,FP_NEEnight,FP_Temp,E_0,R_ref,Reco,Reco_f,Reco_DT_f,GPP,GPP_f,GPP_DT_f,GPP_fqc,gC_NEE,gC_ER,gC_GPP,gC ER_DT,gC GPP_DT
--,--,--,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,umolm-2s-1,umolm-2s-1,-,Wm-2,-,Wm-2,-,Wm-2,-,Wm-2,-,ms-1,%,kg m-1 s-2,-,kg m-1 s-2,-,Wm-2,-,Wm-2,-,umolm-2s-1,-,Wm-2,Wm-2,-,hPa,hPa,-,%,%,-,degC,degC,-,degC,degC,-,KPA,Wm-2,Wm-2,Wm-2,Wm-2,umolm-2s-1,umolm-2s-1,mm,m,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,Wm-2,m3 m-3,m3 m-3,degC,degC,unitless,umol mol-1,fraction,m sec-1,degrees,usec,usec,umolm-2s-1,#,umolm-2s-1,umolm-2s-1,-,%,umol/mol,W_m-2,umolm-2s-1,degC,degK,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,umolm-2s-1,-,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1,gC_m-2_30min-1
2013,270,12,-9999,-9999,-9999,-1.0233,2,-9999,-0.21713,2,-9999,-1.0233,2,-9999,-1.0233,2,-9999,-9999,14.357,2,-9999,-9999,48.484,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,218.45,2,-9999,2.1452,2,-9999,76.638,2,-9999,5.9668,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,532.07,-9999,-9999,69.65,0.86674,0.71081,0,0,1.7341,0,-9999,2,-0.022106,0,0,0,-9999
2013,270,12.5,-9999,-9999,-9999,-1.4909,2,-9999,-0.67234,2,-9999,-1.4909,2,-9999,-1.4909,2,-9999,-9999,17.41,2,-9999,-9999,62.529,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,255.5,2,-9999,3.8238,2,-9999,67.228,2,-9999,7.7097,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,546.22,-9999,-9999,69.65,0.86674,0.74238,0,0,2.2333,0,-9999,2,-0.032208,0,0,0,-9999
2013,270,13,-9999,-9999,-9999,-1.7578,2,-9999,-0.92934,2,-9999,-1.7578,2,-9999,-1.7578,2,-9999,-9999,18.567,2,-9999,-9999,69.093,2,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,259.6,2,-9999,4.0808,2,-9999,65.422,2,-9999,13.75,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,550.62,-9999,-9999,69.65,0.86674,0.8463,0,0,2.6041,0,-9999,2,-0.037974,0,0,0,-9999
2013,270,13.5,-9999,-9999,-9999,-0.81971,1,-9999,0.076099,1,-9999,-0.81971,1,-9999,-0.81971,1,-9999,-9999,27.898,1,-9999,-9999,90.561,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,360.9,360.9,0,8.6711,8.6711,0,43.53,43.53,0,13.36,13.36,0,-9999,-9999,-9999,-9999,34.22,-9999,-9999,159.8,612.68,24.197,0,-9999,-0.404,-0.117,-0.326,-0.248,-0.2605,-0.287,-9999,-9999,-9999,-9999,44,-9999,0.094,3.29,65.191,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,545.18,-9999,13.36,69.65,0.86674,0.83984,0,0,1.6596,0,0,1,-0.017708,0,0,0,0
2013,270,14,-9999,-9999,-9999,-1.4944,1,-9999,-0.61925,1,-9999,-1.4944,1,-9999,-1.4944,1,-9999,-9999,52.398,1,-9999,-9999,169.21,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,353.85,1,-9999,9.0891,1,-9999,42.225,1,14.14,14.14,0,-9999,-9999,-9999,97.2,-9999,-9999,-9999,216.3,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,389.8,0.096,2.321,73.958,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,530.01,-9999,14.14,69.65,0.86674,0.85271,0,0,2.3471,0,-9999,1,-0.032283,0,0,0,-9999
2013,270,14.5,-1.646528233,0,-1.6465,-1.6465,0,-0.75683,-0.75683,0,-1.6465,-1.6465,0,-1.6465,-1.6465,0,56.698,0,56.698,0,194.02,0,194.02,0,0.47679,100.74,0.26832,0,0.26605,1.0085,194.99,1.0116,46.541,1.0628,-10.516,1.0628,346.8,346.8,0,9.5072,9.5072,0,40.92,40.92,0,14.08,14.08,0,-9999,-9999,-9999,97.2,31.73,-9999,-9999,144,557.94,21.914,0,-9999,-0.393,0.066,-0.323,-0.223,-0.1635,-0.273,-9999,-9999,-9999,-9999,44,389.6,0.091,2.441,82.602,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,505.36,-9999,14.08,69.65,0.86674,0.85173,0,0,2.4982,0,0,0,-0.035569,0,0,0,0
2013,270,15,-1.342242073,0,-1.3422,-1.3422,0,-0.48166,-0.48166,0,-1.3422,-1.3422,0,-1.3422,-1.3422,0,48.098,0,48.098,0,144.4,0,144.4,0,0.42121,-9999,0.20938,0,0.20748,1.0092,145.44,1.0117,40.29,1.0602,-7.9995,1.0602,-9999,259,1,-9999,9.9909,1,-9999,39.597,1,14.53,14.53,0,-9999,-9999,-9999,97.2,-9999,-9999,-9999,99.9,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,389.7,0.086,2.094,117.54,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,471.66,-9999,14.53,69.65,0.86674,0.8591,0,0,2.2013,0,-9999,0,-0.028995,0,0,0,-9999
2013,270,15.5,-1.02381015,0,-1.0238,-1.0238,0,-0.22973,-0.22973,0,-1.0238,-1.0238,0,-1.0238,-1.0238,0,52.357,0,52.357,0,145.15,0,145.15,0,0.3835,101.88,0.1734,1,0.17141,1.0116,146.3,1.0127,44.391,1.0564,-7.788,1.0564,240.9,240.9,0,10.11,10.11,0,39.33,39.33,0,14.62,14.62,0,-9999,-9999,-9999,97.2,18.51,-9999,-9999,68.54,374.15,14.147,0,-9999,-0.384,0.24,-0.326,-0.191,-0.072,-0.2585,-9999,-9999,-9999,-9999,44,389.8,0.077,1.55,106.42,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,429.47,-9999,14.62,69.65,0.86674,0.86056,0,0,1.8844,0,0,0,-0.022117,0,0,0,0
2013,270,16,-0.548252262,0,-0.54825,-0.54825,0,0.24196,0.24196,0,-0.54825,-0.54825,0,-0.54825,-0.54825,0,29.464,0,29.464,0,86.632,0,86.632,0,0.26902,102.16,0.085296,0,0.084307,1.0117,87.206,1.0128,24.831,1.0562,-4.5736,1.0562,189.3,189.3,0,10.355,10.355,0,38.54,38.54,0,14.79,14.79,0,-9999,-9999,-9999,97.2,12.66,-9999,-9999,36.74,288.87,10.859,0,-9999,-0.377,0.362,-0.326,-0.169,-0.0075,-0.2475,-9999,-9999,-9999,-9999,44,390.1,0.067,1.484,116.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,379.54,-9999,14.79,69.65,0.86674,0.86333,0,0,1.4116,0,0,0,-0.011844,0,0,0,0
2013,270,16.5,-0.499347086,0,-0.49935,-0.49935,0,0.24602,0.24602,0,-0.49935,-0.49935,0,-0.49935,-0.49935,0,27.29,0,27.29,0,76.419,0,76.419,0,0.30714,122.48,0.11115,0,0.10959,1.0143,76.89,1.0143,23.164,1.0555,-4.0626,1.0555,137.4,137.4,0,10.215,10.215,0,39.1,39.1,0,14.72,14.72,0,-9999,-9999,-9999,97.2,8.39,-9999,-9999,4.412,157.49,7.8427,0,-9999,-0.375,0.452,-0.326,-0.145,0.0385,-0.2355,-9999,-9999,-9999,-9999,44,390.3,0.061,1.435,107.83,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,322.7,-9999,14.72,69.65,0.86674,0.86219,0,0,1.3615,0,0,0,-0.010787,0,0,0,0
2013,270,17,1.13621163,1,1.1362,1.1362,0,1.9269,1.9269,0,1.1362,1.1362,0,1.1362,1.1362,0,23.8,0,23.8,0,40.333,0,40.333,0,0.30586,-9999,0.11025,0,0.10897,1.0117,41.169,1.0128,21.051,1.0562,-0.89691,1.0562,-9999,112.3,1,-9999,8.1891,1,-9999,47.373,1,13.84,13.84,0,-9999,-9999,-9999,97.2,-9999,-9999,-9999,-25.36,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,390,0.084,1.287,63.687,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,259.93,-9999,13.84,69.65,0.86674,0.84778,1.1362,1.1362,-0.28842,0,-9999,0,0.024545,0.024545,0,0.024545,-9999
2013,270,17.5,0.492224004,2,0.49222,0.49222,0,1.2506,1.2506,0,0.49222,0.49222,0,0.49222,0.49222,0,17.191,0,17.191,0,3.876,2,3.876,0,0.25341,-9999,0.075849,0,0.074816,1.0138,4.791,1.014,16.037,1.0556,0.15315,1.0556,-9999,49.521,1,-9999,5.5904,1,-9999,59.087,1,10.96,10.96,0,-9999,-9999,-9999,97.2,-9999,-9999,-9999,-33.34,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44,396.9,0.143,1.261,163.96,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,192.3,-9999,10.96,69.65,0.86674,0.79936,0.49222,0.49222,0.30714,0,-9999,0,0.010633,0.010633,0,0.010633,-9999
2013,270,18,-4.640583713,2,-9999,-0.73958,1,-9999,0.10758,1,-9999,-0.73958,1,-9999,-0.73958,1,-13.299,2,-13.299,0,77.167,2,77.167,0,0.16899,96.589,0.034048,1,0.032105,1.0605,73.156,1.0446,-14.924,1.086,-7.5422,1.086,10.2,10.2,0,3.9975,3.9975,0,64.48,64.48,0,8.69,8.69,0,-9999,-9999,-9999,97.3,1.964,-9999,-9999,-26.47,23.533,0.58506,0,-9999,-0.362,0.622,-0.32,-0.084,0.13,-0.202,-9999,-9999,-9999,-9999,44,411.6,0.215,0.523,311.98,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,120.98,-9999,8.69,69.65,0.86674,0.75983,0,0,1.4994,0,0,1,-0.015977,0,0,0,0
2013,270,18.5,1.630549356,2,-9999,-0.52579,1,-9999,-0.10421,1,-9999,-0.52579,1,-9999,-0.52579,1,-0.3762,2,-0.3762,0,-4.1546,1,-4.1546,0,0.042776,99.206,0.0022008,1,0.0021202,1.038,-3.8819,1.0752,-0.14806,1.3889,1.3249,1.3889,0.964,0.964,0,2.559,2.559,0,73.68,73.68,0,6.552,6.552,0,-9999,-9999,-9999,97.3,0.972,-9999,-9999,-22.22,4.164,0,0,-9999,-0.354,0.543,-0.308,-0.072,0.0945,-0.19,-9999,-9999,-9999,-9999,44,421,-9999,0.401,349.94,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,47.174,-9999,6.552,69.65,0.86674,0.72149,0,0,1.2473,0,0,1,-0.011359,0,0,0,0
2013,270,19,3.216304241,0,-9999,-0.33312,1,-9999,0.045922,1,-9999,-0.33312,1,-9999,-0.33312,1,0.68996,2,0.68996,0,-5.6208,1,-5.6208,0,0.039341,99.24,0.0018754,1,0.0017731,1.0577,-5.0247,1.1138,0.58108,1.5696,2.2294,1.5696,0,0,0,2.3742,2.3742,0,74.75,74.75,0,6.068,6.068,0,-9999,-9999,-9999,97.3,0.728,-9999,-9999,-20.91,0.19971,0,0,-9999,-0.372,0.376,-0.309,-0.08,0.002,-0.1945,-9999,-9999,-9999,-9999,44,418.9,-9999,0.359,16.759,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,6.068,69.65,0.86674,0.71266,0,0,1.0458,0,0,1,-0.0071964,0,0,0,0
2013,270,19.5,8.927442558,1,-9999,-0.25037,1,-9999,0.11915,1,-9999,-0.25037,1,-9999,-0.25037,1,-3.0779,1,-3.0779,0,-18.716,1,-18.716,0,0.071493,100.15,0.0062075,1,0.0059906,1.0362,-17.594,1.0721,-1.6683,1.3841,7.1672,1.3841,0,0,0,2.4133,2.4133,0,74.17,74.17,0,5.976,5.976,0,-9999,-9999,-9999,97.4,0.735,-9999,-9999,-19.05,0,0,0,-9999,-0.379,0.181,-0.301,-0.089,-0.099,-0.195,-9999,-9999,-9999,-9999,44,414.2,-9999,0.653,6.4688,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,5.976,69.65,0.86674,0.71098,0,0,0.96135,0,0,1,-0.0054087,0,0,0,0
2013,270,20,3.398608196,0,-9999,0.83592,1,-9999,1.1848,1,-9999,0.83592,1,-9999,0.83592,1,-3.4602,0,-3.4602,0,-18.434,1,-18.434,0,0.050816,100.22,0.0031395,2,0.002918,1.0759,-16.149,1.1503,-1.5225,1.7851,2.4464,1.7851,0,0,0,1.8617,1.8617,0,77.93,77.93,0,4.512,4.512,0,-9999,-9999,-9999,97.4,0.655,-9999,-9999,-18.15,0,0,0,-9999,-0.388,-0.031,-0.294,-0.109,-0.2095,-0.2015,-9999,-9999,-9999,-9999,44,420.7,-9999,0.6,18.125,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0,-9999,4.512,69.65,0.86674,0.68392,0.83592,0.83592,-0.152,0,0,1,0.018058,0.018058,0,0.018058,0
